"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,-1.38082066334843,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,2.37732633316331,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,-0.840910194297354,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,-1.45042063013633,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,4.15746604745193,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,3.53366109666679,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,8.39170375314701,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,3.19883215582541,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,-1.82180297762643,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,-3.37960767516381,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,4.06740469777116,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,6.47516514039689,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,9.13368242770797,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,5.11169719512665,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,-3.05696630274789,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,-4.28468527564078,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,0.201802264199542,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,-3.15765322658285,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,-3.04800254439023,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,3.91908608992042,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,2.14706733208066,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,0.0145504074503236,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,2.84950529626944,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,3.2622615384251,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,-0.666885883083707,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,0.242565695339432,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,-2.42804227602345,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,-6.51493185840949,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,-10.720018639148,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,2.08261978790175,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,-1.51414449939048,,
